policy_idx,iteration,iteration_type,request_id,action,resource,expected,actual
1,0,baseline,allow_b10b1ba7,sagemaker:StartNotebookInstance,arn:aws:sagemaker:::notebook-instance/data/file.json,allow,deny
1,0,baseline,allow_b10b1ba7,sagemaker:StartNotebookInstance,arn:aws:s3:::my-bucket/document.txt,allow,deny
1,0,baseline,allow_b10b1ba7,sagemaker:StartNotebookInstance,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
1,0,baseline,allow_b065e9b7,sagemaker:CreatePresignedNotebookInstanceUrl,arn:aws:s3:::my-bucket/document.txt,allow,deny
1,0,baseline,allow_8dc74bce,sagemaker:StopNotebookInstance,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
1,0,baseline,allow_8dc74bce,sagemaker:CreatePresignedDomainUrl,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
1,0,baseline,allow_53ae3a2f,sagemaker:UpdateNotebookInstance,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
1,0,baseline,allow_9e581559,sagemaker:CreatePresignedNotebookInstanceUrl,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
2,0,baseline,deny_eaed18a0,ec2:TerminateInstances,arn:aws:kms:us-east-1:123456789012:key/forbidden-key,deny,allow
2,0,baseline,deny_eaed18a0,ec2:RunInstances,arn:aws:kms:us-east-1:123456789012:key/forbidden-key,deny,allow
2,0,baseline,deny_28c378f8,ec2:DescribeInstances,arn:aws:iam::123456789012:role/admin-role,deny,allow
2,0,baseline,allow_299b88c8,ec2:TerminateInstances,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
2,0,baseline,allow_535763a6,ec2:DescribeInstances,arn:aws:s3:::my-bucket/document.txt,allow,deny
2,0,baseline,allow_3e3a9b35,ec2:RunInstances,arn:aws:s3:::my-bucket/document.txt,allow,deny
2,0,baseline,deny_80f0eb77,ec2:CreateSecurityGroup,arn:aws:s3:::forbidden-bucket/document.txt,deny,allow
2,0,baseline,deny_40e365a1,ec2:CreateSecurityGroup,arn:aws:kms:us-east-1:123456789012:key/forbidden-key,deny,allow
2,0,baseline,deny_40e365a1,ec2:RunInstances,arn:aws:kms:us-east-1:123456789012:key/forbidden-key,deny,allow
2,0,baseline,deny_f20bc8e5,ec2:CreateSecurityGroup,arn:aws:iam::123456789012:role/admin-role,deny,allow
2,0,baseline,allow_0acce0e8,ec2:RunInstances,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
2,0,baseline,allow_0acce0e8,ec2:RunInstances,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
2,0,baseline,allow_0acce0e8,ec2:TerminateInstances,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
2,0,baseline,allow_0acce0e8,ec2:TerminateInstances,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
2,0,baseline,deny_bfb9c1a5,ec2:DescribeInstances,arn:aws:iam::123456789012:role/admin-role,deny,allow
3,0,baseline,allow_80c7c808,s3:PutObject,arn:aws:s3:::my-bucket/document.txt,allow,deny
3,0,baseline,allow_80c7c808,logs:CreateLogGroup,arn:aws:s3:::my-bucket/document.txt,allow,deny
3,0,baseline,allow_80c7c808,logs:DescribeLogStreams,arn:aws:s3:::my-bucket/document.txt,allow,deny
3,0,baseline,deny_8218cd43,iot:CreateRoleAlias,arn:aws:iam::123456789012:role/admin-role,deny,allow
3,0,baseline,deny_e76ef08e,iam:TagPolicy,arn:aws:s3:::forbidden-bucket/document.txt,deny,allow
3,0,baseline,deny_345c3b7d,iot:AddThingToThingGroup,arn:aws:s3:::forbidden-bucket/document.txt,deny,allow
3,0,baseline,deny_89ca904e,iot:GetPolicy,arn:aws:iam::123456789012:role/admin-role,deny,allow
3,0,baseline,deny_2701534a,iot:GetThingShadow,arn:aws:s3:::forbidden-bucket/document.txt,deny,allow
3,0,baseline,deny_2701534a,iot:TagResource,arn:aws:s3:::forbidden-bucket/document.txt,deny,allow
3,0,baseline,allow_d937890b,logs:CreateLogGroup,arn:aws:s3:::my-bucket/document.txt,allow,deny
3,0,baseline,allow_d937890b,logs:CreateLogGroup,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
3,0,baseline,allow_d937890b,iam:PassRole,arn:aws:s3:::my-bucket/document.txt,allow,deny
3,0,baseline,allow_d937890b,iam:PassRole,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
3,0,baseline,allow_d937890b,iot:DescribeJobExecution,arn:aws:s3:::my-bucket/document.txt,allow,deny
3,0,baseline,allow_d937890b,iot:DescribeJobExecution,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
3,0,baseline,deny_76150767,iot:CreateThing,arn:aws:s3:::forbidden-bucket/document.txt,deny,allow
3,0,baseline,deny_76150767,s3:DeleteObject,arn:aws:s3:::forbidden-bucket/document.txt,deny,allow
3,0,baseline,deny_a35f0776,iot:ListAttachedPolicies,arn:aws:kms:us-east-1:123456789012:key/forbidden-key,deny,allow
4,0,baseline,allow_c2a208b0,s3:DeleteObject,arn:aws:s3:::*/logs/app.log,allow,deny
4,0,baseline,deny_82d378f0,s3:GetObject,arn:aws:s3:::completely-different-bucket/file.txt,deny,allow
4,0,baseline,deny_82d378f0,s3:PutBucketPolicy,arn:aws:s3:::completely-different-bucket/file.txt,deny,allow
4,0,baseline,deny_82d378f0,s3:GetBucketLocation,arn:aws:s3:::completely-different-bucket/file.txt,deny,allow
4,0,baseline,allow_4b0d6755,s3:DeleteBucket,arn:aws:s3:::*/logs/app.log,allow,deny
4,0,baseline,allow_28e5e922,s3:ListBucket,arn:aws:s3:::*/temp/upload.tmp,allow,deny
4,0,baseline,allow_28e5e922,s3:GetObject,arn:aws:s3:::*/temp/upload.tmp,allow,deny
4,0,baseline,deny_f6ce1848,s3:CreateBucket,arn:aws:s3:::different-*/file.txt,deny,allow
4,0,baseline,deny_0402fb72,s3:GetBucketLocation,arn:aws:s3:::different-*/file.txt,deny,allow
4,0,baseline,allow_1e8b081e,s3:DeleteBucket,arn:aws:s3:::*/temp/upload.tmp,allow,deny
4,0,baseline,deny_76fb1c09,s3:GetBucketLocation,arn:aws:s3:::*-forbidden/file.txt,deny,allow
4,0,baseline,allow_b86d2a48,s3:DeleteBucket,arn:aws:s3:::document,allow,deny
4,0,baseline,allow_4bacdd3b,s3:DeleteObject,arn:aws:s3:::*/temp/upload.tmp,allow,deny
4,0,baseline,allow_4bacdd3b,s3:DeleteObject,arn:aws:s3:::document,allow,deny
4,0,baseline,allow_4bacdd3b,s3:DeleteBucket,arn:aws:s3:::*/temp/upload.tmp,allow,deny
4,0,baseline,allow_4bacdd3b,s3:DeleteBucket,arn:aws:s3:::document,allow,deny
4,0,baseline,allow_9c53c600,s3:PutBucketPolicy,arn:aws:s3:::data123,allow,deny
4,0,baseline,allow_e25627fc,s3:DeleteBucket,arn:aws:s3:::file1,allow,deny
4,0,baseline,allow_e25627fc,s3:CreateBucket,arn:aws:s3:::file1,allow,deny
4,0,baseline,allow_e25627fc,s3:GetBucketLocation,arn:aws:s3:::file1,allow,deny
5,0,baseline,allow_d28acd92,sts:TagSession,arn:aws:iam::{account id}:role/{role name},allow,deny
5,0,baseline,allow_d28acd92,sts:AssumeRoleWithWebIdentity,arn:aws:iam::{account id}:role/{role name},allow,deny
5,0,baseline,allow_4b2e6812,sts:TagSession,arn:aws:iam::{account id}:role/{role name},allow,deny
5,0,baseline,allow_4b2e6812,sts:AssumeRoleWithWebIdentity,arn:aws:iam::{account id}:role/{role name},allow,deny
5,0,baseline,allow_46828ad7,sts:AssumeRoleWithWebIdentity,arn:aws:iam::{account id}:role/{role name},allow,deny
5,0,baseline,allow_46828ad7,sts:TagSession,arn:aws:iam::{account id}:role/{role name},allow,deny
5,0,baseline,allow_d296b21a,sts:TagSession,arn:aws:iam::{account id}:role/{role name},allow,deny
5,0,baseline,allow_d296b21a,sts:AssumeRoleWithWebIdentity,arn:aws:iam::{account id}:role/{role name},allow,deny
5,0,baseline,allow_8b2a35e8,sts:TagSession,arn:aws:iam::{account id}:role/{role name},allow,deny
6,0,baseline,allow_5a9c8239,s3:DeleteObjectVersion,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
6,0,baseline,allow_5a9c8239,s3:DeleteObjectVersion,arn:aws:s3:::my-bucket/document.txt,allow,deny
6,0,baseline,allow_5a9c8239,s3:DeleteObjectVersion,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
6,0,baseline,allow_5a9c8239,iot:DetachPolicy,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
6,0,baseline,allow_5a9c8239,iot:DetachPolicy,arn:aws:s3:::my-bucket/document.txt,allow,deny
6,0,baseline,allow_5a9c8239,iot:DetachPolicy,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
6,0,baseline,allow_500a0abc,iam:DetachRolePolicy,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
6,0,baseline,allow_2d2c1256,s3:DeleteObject,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
6,0,baseline,allow_8c0cb43e,iot:Subscribe,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
6,0,baseline,allow_58b1bb26,iot:Publish,arn:aws:s3:::my-bucket/document.txt,allow,deny
6,0,baseline,allow_b2d4a138,s3:PutObjectTagging,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
6,0,baseline,allow_b2d4a138,iot:GetThingShadow,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
6,0,baseline,allow_34c4c6da,iam:GetPolicy,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
6,0,baseline,allow_34c4c6da,iot:AddThingToThingGroup,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
6,0,baseline,allow_34c4c6da,iot:CreateThingGroup,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
6,0,baseline,allow_5d718885,s3:PutBucketTagging,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
6,0,baseline,allow_5d718885,s3:PutBucketTagging,arn:aws:s3:::my-bucket/document.txt,allow,deny
6,0,baseline,allow_5d718885,iot:CreateRoleAlias,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
6,0,baseline,allow_5d718885,iot:CreateRoleAlias,arn:aws:s3:::my-bucket/document.txt,allow,deny
6,0,baseline,allow_5d718885,iot:DeleteThing,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
6,0,baseline,allow_5d718885,iot:DeleteThing,arn:aws:s3:::my-bucket/document.txt,allow,deny
6,0,baseline,allow_f29a8b8f,s3:PutBucketTagging,arn:aws:s3:::my-bucket/document.txt,allow,deny
6,0,baseline,allow_f29a8b8f,s3:PutBucketTagging,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
6,0,baseline,allow_f29a8b8f,s3:PutBucketTagging,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
6,0,baseline,allow_f29a8b8f,iot:CreateJob,arn:aws:s3:::my-bucket/document.txt,allow,deny
6,0,baseline,allow_f29a8b8f,iot:CreateJob,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
6,0,baseline,allow_f29a8b8f,iot:CreateJob,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
6,0,baseline,allow_435228ee,iot-device-tester:LatestIdt,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
6,0,baseline,allow_435228ee,iot-device-tester:CheckVersion,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
6,0,baseline,allow_435228ee,iot:AttachPolicy,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
7,0,baseline,allow_a381c403,s3:PutBucketPolicy,arn:aws:s3:::bucket,allow,deny
7,0,baseline,allow_b5d4f41b,s3:GetBucketAcl,arn:aws:s3:::bucket/logs/app.log,allow,deny
7,0,baseline,allow_b5d4f41b,s3:GetBucketAcl,arn:aws:s3:::bucket/document.txt,allow,deny
7,0,baseline,allow_4ac354a4,s3:DeleteObject,arn:aws:s3:::bucket/logs/app.log,allow,deny
7,0,baseline,allow_ab712845,s3:PutObject,arn:aws:s3:::bucket/logs/app.log,allow,deny
8,0,baseline,allow_f16afef7,s3:CreateBucket,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,0,baseline,allow_ee2c13a5,s3:DeleteObject,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,0,baseline,allow_75568ede,s3:ListAllMyBuckets,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,0,baseline,allow_75568ede,s3:ListBucket,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,0,baseline,allow_2aedeba9,s3:GetObject,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,0,baseline,allow_2aedeba9,s3:GetBucketLocation,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,0,baseline,allow_1ea497fd,cloudwatch:GetMetricStatistics,arn:aws:s3:::bucket/logs/app.log,allow,deny
8,0,baseline,allow_b51fa458,cloudwatch:ListMetrics,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,0,baseline,allow_44ce20f7,s3:CreateBucket,arn:aws:s3:::my-bucket/document.txt,allow,deny
8,0,baseline,allow_44ce20f7,s3:CreateBucket,arn:aws:s3:::bucket/logs/app.log,allow,deny
8,0,baseline,allow_44ce20f7,s3:PutBucketPolicy,arn:aws:s3:::my-bucket/document.txt,allow,deny
8,0,baseline,allow_44ce20f7,s3:PutBucketPolicy,arn:aws:s3:::bucket/logs/app.log,allow,deny
8,0,baseline,allow_44ce20f7,s3:GetBucketLocation,arn:aws:s3:::my-bucket/document.txt,allow,deny
8,0,baseline,allow_44ce20f7,s3:GetBucketLocation,arn:aws:s3:::bucket/logs/app.log,allow,deny
8,0,baseline,allow_5a3250d5,s3:DeleteBucket,arn:aws:s3:::my-bucket/document.txt,allow,deny
8,0,baseline,allow_68b7a0bc,cloudwatch:ListMetrics,arn:aws:s3:::bucket,allow,deny
8,0,baseline,allow_68b7a0bc,cloudwatch:ListMetrics,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,0,baseline,allow_fdca23e3,s3:GetBucketLocation,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,0,baseline,allow_1f8676fe,cloudwatch:GetMetricStatistics,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,0,baseline,allow_1f8676fe,s3:PutObject,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
9,0,baseline,allow_272afd3c,kms:Encrypt,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
9,0,baseline,allow_272afd3c,kms:Encrypt,arn:aws:s3:::my-bucket/document.txt,allow,deny
9,0,baseline,allow_272afd3c,kms:GenerateDataKey,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
9,0,baseline,allow_272afd3c,kms:GenerateDataKey,arn:aws:s3:::my-bucket/document.txt,allow,deny
9,0,baseline,allow_272afd3c,kms:ListGrants,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
9,0,baseline,allow_272afd3c,kms:ListGrants,arn:aws:s3:::my-bucket/document.txt,allow,deny
9,0,baseline,allow_a8181145,kms:GenerateDataKeyWithoutPlaintext,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
9,0,baseline,allow_0ec58de6,kms:GenerateDataKeyWithoutPlaintext,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
9,0,baseline,deny_d67710af,kms:RevokeGrant,arn:aws:s3:::forbidden-bucket/document.txt,deny,allow
9,0,baseline,deny_d67710af,kms:GenerateDataKey,arn:aws:s3:::forbidden-bucket/document.txt,deny,allow
9,0,baseline,allow_71912fcd,kms:CreateKey,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
9,0,baseline,allow_4796aa5e,kms:CreateKey,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
9,0,baseline,allow_4796aa5e,kms:CreateKey,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
9,0,baseline,allow_4796aa5e,kms:GenerateDataKeyWithoutPlaintext,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
9,0,baseline,allow_4796aa5e,kms:GenerateDataKeyWithoutPlaintext,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
9,0,baseline,allow_4f6efa5c,kms:GenerateDataKeyWithoutPlaintext,arn:aws:s3:::my-bucket/document.txt,allow,deny
9,0,baseline,allow_c2fe2285,kms:GenerateDataKeyWithoutPlaintext,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
9,0,baseline,allow_c2fe2285,kms:DescribeKey,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
