policy_idx,iteration,request_id,action,resource,expected,actual
8,1,allow_0340c464,s3:CreateBucket,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,1,allow_0340c464,s3:CreateBucket,arn:aws:s3:::my-bucket/document.txt,allow,deny
8,1,allow_dbd1c3d2,s3:GetObject,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,1,allow_5801446b,s3:ListBucket,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,1,allow_d059aa0c,s3:PutObject,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,1,allow_d059aa0c,s3:PutObject,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,1,allow_d36d683e,s3:PutObject,arn:aws:s3:::bucket,allow,deny
8,1,allow_d36d683e,s3:PutObject,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,1,allow_5c938cbe,s3:DeleteBucket,arn:aws:s3:::bucket/document.txt,allow,deny
8,1,allow_5c938cbe,s3:DeleteBucket,arn:aws:s3:::my-bucket/document.txt,allow,deny
8,1,allow_aed5e0e7,s3:GetBucketAcl,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,1,allow_b073adf4,s3:PutBucketPolicy,arn:aws:s3:::bucket/temp/upload.tmp,allow,deny
8,1,allow_f3d53ff0,s3:PutBucketPolicy,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,1,allow_f3d53ff0,s3:PutObject,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,1,allow_1af18654,s3:PutObject,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,1,deny_8c4a2b12,cloudwatch:ListMetrics,arn:aws:s3:::completely-different-bucket/*,deny,allow
9,1,allow_050d6d79,kms:ScheduleKeyDeletion,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
